chr	start_GRCh38	end_GRCh38	GD_ID	svtype	NAHR	terminal	cluster	size	BP1	BP2
chr15	75339446	77858911	GD_15q24.2-q24.3-CE_DEL_chr15_75339446_77858911	DEL	yes	no	15q24	2519465	C	E
chr15	75339446	77858911	GD_15q24.2-q24.3-CE_DUP_chr15_75339446_77858911	DUP	yes	no	15q24	2519465	C	E
chr15	72671374	75215971	GD_15q24.1-q24.2-AC_DEL_chr15_72671374_75215971	DEL	yes	no	15q24	2544597	A	C
chr15	72671374	75215971	GD_15q24.1-q24.2-AC_DUP_chr15_72671374_75215971	DUP	yes	no	15q24	2544597	A	C
chr15	72671374	75680568	GD_15q24.1-q24.2-AD_DEL_chr15_72671374_75680568	DEL	yes	no	15q24	3009194	A	D
chr15	72671374	75680568	GD_15q24.1-q24.2-AD_DUP_chr15_72671374_75680568	DUP	yes	no	15q24	3009194	A	D
chr15	74120301	77858911	GD_15q24.1-q24.3-BE_DEL_chr15_74120301_77858911	DEL	yes	no	15q24	3738610	B	E
chr15	74120301	77858911	GD_15q24.1-q24.3-BE_DUP_chr15_74120301_77858911	DUP	yes	no	15q24	3738610	B	E
chr15	72671374	77858911	GD_15q24.1-q24.3-AE_DEL_chr15_72671374_77858911	DEL	yes	no	15q24	5187537	A	E
chr15	72671374	77858911	GD_15q24.1-q24.3-AE_DUP_chr15_72671374_77858911	DUP	yes	no	15q24	5187537	A	E
chr16	28471484	28592383	GD_16p11.2-BP1-2_DEL_chr16_28471484_28592383	DEL	yes	no	16p11	120899	1	2
chr16	28471484	28592383	GD_16p11.2-BP1-2_DUP_chr16_28471484_28592383	DUP	yes	no	16p11	120899	1	2
chr16	29105264	29324175	GD_16p11.2-BP3-4_DEL_chr16_29105264_29324175	DEL	yes	no	16p11	218911	3	4
chr16	29105264	29324175	GD_16p11.2-BP3-4_DUP_chr16_29105264_29324175	DUP	yes	no	16p11	218911	3	4
chr16	28811314	29035178	GD_16p11.2-BP2-3_DEL_chr16_28811314_29035178	DEL	yes	no	16p11	223864	2	3
chr16	28811314	29035178	GD_16p11.2-BP2-3_DUP_chr16_28811314_29035178	DUP	yes	no	16p11	223864	2	3
chr16	28811314	29324175	GD_16p11.2-BP2-4_DEL_chr16_28811314_29324175	DEL	yes	no	16p11	512861	2	4
chr16	28811314	29324175	GD_16p11.2-BP2-4_DUP_chr16_28811314_29324175	DUP	yes	no	16p11	512861	2	4
chr16	29638676	30188531	GD_16p11.2-BP4-5_DEL_chr16_29638676_30188531	DEL	yes	no	16p11	549855	4	5
chr16	29638676	30188531	GD_16p11.2-BP4-5_DUP_chr16_29638676_30188531	DUP	yes	no	16p11	549855	4	5
chr16	28471484	29035178	GD_16p11.2-BP1-3_DEL_chr16_28471484_29035178	DEL	yes	no	16p11	563694	1	3
chr16	28471484	29035178	GD_16p11.2-BP1-3_DUP_chr16_28471484_29035178	DUP	yes	no	16p11	563694	1	3
chr16	28471484	29324175	GD_16p11.2-BP1-4_DEL_chr16_28471484_29324175	DEL	yes	no	16p11	852691	1	4
chr16	28471484	29324175	GD_16p11.2-BP1-4_DUP_chr16_28471484_29324175	DUP	yes	no	16p11	852691	1	4
chr16	29105264	30188531	GD_16p11.2-BP3-5_DEL_chr16_29105264_30188531	DEL	yes	no	16p11	1083267	3	5
chr16	29105264	30188531	GD_16p11.2-BP3-5_DUP_chr16_29105264_30188531	DUP	yes	no	16p11	1083267	3	5
chr16	28811314	30188531	GD_16p11.2-BP2-5_DEL_chr16_28811314_30188531	DEL	yes	no	16p11	1377217	2	5
chr16	28811314	30188531	GD_16p11.2-BP2-5_DUP_chr16_28811314_30188531	DUP	yes	no	16p11	1377217	2	5
chr16	28471484	30188531	GD_16p11.2-BP1-5_DEL_chr16_28471484_30188531	DEL	yes	no	16p11	1717047	1	5
chr16	28471484	30188531	GD_16p11.2-BP1-5_DUP_chr16_28471484_30188531	DUP	yes	no	16p11	1717047	1	5
chr16	14892827	15164102	GD_16p13.11-BP1-2_DEL_chr16_14892827_15164102	DEL	yes	no	16p13	271275	1	2
chr16	14892827	15164102	GD_16p13.11-BP1-2_DUP_chr16_14892827_15164102	DUP	yes	no	16p13	271275	1	2
chr16	15417854	16198408	GD_16p13.11-BP2-3_DEL_chr16_15417854_16198408	DEL	yes	no	16p13	780554	2	3
chr16	15417854	16198408	GD_16p13.11-BP2-3_DUP_chr16_15417854_16198408	DUP	yes	no	16p13	780554	2	3
chr16	14892827	16198408	GD_16p13.11-BP1-3_DEL_chr16_14892827_16198408	DEL	yes	no	16p13	1305581	1	3
chr16	14892827	16198408	GD_16p13.11-BP1-3_DUP_chr16_14892827_16198408	DUP	yes	no	16p13	1305581	1	3
chr16	16762939	18073544	GD_16p12.3-BP3-4_DEL_chr16_16762939_18073544	DEL	yes	no	16p13	1310605	3	4
chr16	16762939	18073544	GD_16p12.3-BP3-4_DUP_chr16_16762939_18073544	DUP	yes	no	16p13	1310605	3	4
chr16	15417854	18073273	GD_16p13.11-p12.3-BP2-4_DEL_chr16_15417854_18073273	DEL	yes	no	16p13	2655419	2	4
chr16	15417854	18073273	GD_16p13.11-p12.3-BP2-4_DUP_chr16_15417854_18073273	DUP	yes	no	16p13	2655419	2	4
chr16	14892827	18073544	GD_16p13.11-p12.3-BP1-4_DEL_chr16_14892827_18073544	DEL	yes	no	16p13	3180717	1	4
chr16	14892827	18073544	GD_16p13.11-p12.3-BP1-4_DUP_chr16_14892827_18073544	DUP	yes	no	16p13	3180717	1	4
chr1	145686997	145808272	GD_1q21.1-BP1-2_DEL_chr1_145686997_145808272	DEL	yes	no	1q21	121275	1	2
chr1	145686997	145808272	GD_1q21.1-BP1-2_DUP_chr1_145686997_145808272	DUP	yes	no	1q21	121275	1	2
chr1	145808272	146048497	GD_1q21.1-BP2-3_DEL_chr1_145808272_146048497	DEL	yes	no	1q21	240225	2	3
chr1	145808272	146048497	GD_1q21.1-BP2-3_DUP_chr1_145808272_146048497	DUP	yes	no	1q21	240225	2	3
chr1	145686997	146048497	GD_1q21.1-BP1-3_DEL_chr1_145686997_146048497	DEL	yes	no	1q21	361500	1	3
chr1	145686997	146048497	GD_1q21.1-BP1-3_DUP_chr1_145686997_146048497	DUP	yes	no	1q21	361500	1	3
chr1	147061832	148411223	GD_1q21.1-q21.2-BP3-4_DEL_chr1_147061832_148411223	DEL	yes	no	1q21	1349391	3	4
chr1	147061832	148411223	GD_1q21.1-q21.2-BP3-4_DUP_chr1_147061832_148411223	DUP	yes	no	1q21	1349391	3	4
chr1	145808272	148411223	GD_1q21.1-q21.2-BP2-4_DEL_chr1_145808272_148411223	DEL	yes	no	1q21	2602951	2	4
chr1	145808272	148411223	GD_1q21.1-q21.2-BP2-4_DUP_chr1_145808272_148411223	DUP	yes	no	1q21	2602951	2	4
chr1	145686997	148411223	GD_1q21.1-q21.2-BP1-4_DEL_chr1_145686997_148411223	DEL	yes	no	1q21	2724226	1	4
chr1	145686997	148411223	GD_1q21.1-q21.2-BP1-4_DUP_chr1_145686997_148411223	DUP	yes	no	1q21	2724226	1	4
chr22	24298904	24598466	GD_22q11.23-GH_DEL_chr22_24298904_24598466	DEL	yes	no	22q11	299562	G	H
chr22	24298904	24598466	GD_22q11.23-GH_DUP_chr22_24298904_24598466	DUP	yes	no	22q11	299562	G	H
chr22	20377696	20716497	GD_22q11.21-BC_DEL_chr22_20377696_20716497	DEL	yes	no	22q11	338801	B	C
chr22	20377696	20716497	GD_22q11.21-BC_DUP_chr22_20377696_20716497	DUP	yes	no	22q11	338801	B	C
chr22	20716497	21111383	GD_22q11.21-CD_DEL_chr22_20716497_21111383	DEL	yes	no	22q11	394886	C	D
chr22	20716497	21111383	GD_22q11.21-CD_DUP_chr22_20716497_21111383	DUP	yes	no	22q11	394886	C	D
chr22	22776924	23306924	GD_22q11.22-q11.23-EF_DEL_chr22_22776924_23306924	DEL	yes	no	22q11	530000	E	F
chr22	22776924	23306924	GD_22q11.22-q11.23-EF_DUP_chr22_22776924_23306924	DUP	yes	no	22q11	530000	E	F
chr22	20377696	21111383	GD_22q11.21-BD_DEL_chr22_20377696_21111383	DEL	yes	no	22q11	733687	B	D
chr22	20377696	21111383	GD_22q11.21-BD_DUP_chr22_20377696_21111383	DUP	yes	no	22q11	733687	B	D
chr22	23489015	24236853	GD_22q11.23-FG_DEL_chr22_23489015_24236853	DEL	yes	no	22q11	747838	F	G
chr22	23489015	24236853	GD_22q11.23-FG_DUP_chr22_23489015_24236853	DUP	yes	no	22q11	747838	F	G
chr22	21562828	22618940	GD_22q11.21-q11.22-DE_DEL_chr22_21562828_22618940	DEL	yes	no	22q11	1056112	D	E
chr22	21562828	22618940	GD_22q11.21-q11.22-DE_DUP_chr22_21562828_22618940	DUP	yes	no	22q11	1056112	D	E
chr22	23489015	24598466	GD_22q11.23-FH_DEL_chr22_23489015_24598466	DEL	yes	no	22q11	1109451	F	H
chr22	23489015	24598466	GD_22q11.23-FH_DUP_chr22_23489015_24598466	DUP	yes	no	22q11	1109451	F	H
chr22	18924718	20299685	GD_22q11.21-AB_DEL_chr22_18924718_20299685	DEL	yes	no	22q11	1374967	A	B
chr22	18924718	20299685	GD_22q11.21-AB_DUP_chr22_18924718_20299685	DUP	yes	no	22q11	1374967	A	B
chr22	22776924	24236853	GD_22q11.22-q11.23-EG_DEL_chr22_22776924_24236853	DEL	yes	no	22q11	1459929	E	G
chr22	22776924	24236853	GD_22q11.22-q11.23-EG_DUP_chr22_22776924_24236853	DUP	yes	no	22q11	1459929	E	G
chr22	21562828	23306924	GD_22q11.21-q11.23-DF_DEL_chr22_21562828_23306924	DEL	yes	no	22q11	1744096	D	F
chr22	21562828	23306924	GD_22q11.21-q11.23-DF_DUP_chr22_21562828_23306924	DUP	yes	no	22q11	1744096	D	F
chr22	18924718	20716497	GD_22q11.21-AC_DEL_chr22_18924718_20716497	DEL	yes	no	22q11	1791779	A	C
chr22	18924718	20716497	GD_22q11.21-AC_DUP_chr22_18924718_20716497	DUP	yes	no	22q11	1791779	A	C
chr22	22776925	24598466	GD_22q11.22-q11.23-EH_DEL_chr22_22776925_24598466	DEL	yes	no	22q11	1821541	E	H
chr22	22776925	24598466	GD_22q11.22-q11.23-EH_DUP_chr22_22776925_24598466	DUP	yes	no	22q11	1821541	E	H
chr22	20716497	22618940	GD_22q11.21-q11.22-CE_DEL_chr22_20716497_22618940	DEL	yes	no	22q11	1902443	C	E
chr22	20716497	22618940	GD_22q11.21-q11.22-CE_DUP_chr22_20716497_22618940	DUP	yes	no	22q11	1902443	C	E
chr22	18924718	21111383	GD_22q11.21-AD_DEL_chr22_18924718_21111383	DEL	yes	no	22q11	2186665	A	D
chr22	18924718	21111383	GD_22q11.21-AD_DUP_chr22_18924718_21111383	DUP	yes	no	22q11	2186665	A	D
chr22	20377696	22618940	GD_22q11.21-q11.22-BE_DEL_chr22_20377696_22618940	DEL	yes	no	22q11	2241244	B	E
chr22	20377696	22618940	GD_22q11.21-q11.22-BE_DUP_chr22_20377696_22618940	DUP	yes	no	22q11	2241244	B	E
chr22	20716497	23306924	GD_22q11.21-q11.23-CF_DEL_chr22_20716497_23306924	DEL	yes	no	22q11	2590427	C	F
chr22	20716497	23306924	GD_22q11.21-q11.23-CF_DUP_chr22_20716497_23306924	DUP	yes	no	22q11	2590427	C	F
chr22	21562828	24236853	GD_22q11.21-q11.23-DG_DEL_chr22_21562828_24236853	DEL	yes	no	22q11	2674025	D	G
chr22	21562828	24236853	GD_22q11.21-q11.23-DG_DUP_chr22_21562828_24236853	DUP	yes	no	22q11	2674025	D	G
chr22	20377696	23306924	GD_22q11.21-q11.23-BF_DEL_chr22_20377696_23306924	DEL	yes	no	22q11	2929228	B	F
chr22	20377696	23306924	GD_22q11.21-q11.23-BF_DUP_chr22_20377696_23306924	DUP	yes	no	22q11	2929228	B	F
chr22	21562828	24598466	GD_22q11.21-q11.23-DH_DEL_chr22_21562828_24598466	DEL	yes	no	22q11	3035638	D	H
chr22	21562828	24598466	GD_22q11.21-q11.23-DH_DUP_chr22_21562828_24598466	DUP	yes	no	22q11	3035638	D	H
chr22	20716497	24236853	GD_22q11.21-q11.23-CG_DEL_chr22_20716497_24236853	DEL	yes	no	22q11	3520356	C	G
chr22	20716497	24236853	GD_22q11.21-q11.23-CG_DUP_chr22_20716497_24236853	DUP	yes	no	22q11	3520356	C	G
chr22	18924718	22618940	GD_22q11.21-q11.22-AE_DEL_chr22_18924718_22618940	DEL	yes	no	22q11	3694222	A	E
chr22	18924718	22618940	GD_22q11.21-q11.22-AE_DUP_chr22_18924718_22618940	DUP	yes	no	22q11	3694222	A	E
chr22	20377696	24236853	GD_22q11.21-q11.23-BG_DEL_chr22_20377696_24236853	DEL	yes	no	22q11	3859157	B	G
chr22	20377696	24236853	GD_22q11.21-q11.23-BG_DUP_chr22_20377696_24236853	DUP	yes	no	22q11	3859157	B	G
chr22	20716497	24598466	GD_22q11.21-q11.23-CH_DEL_chr22_20716497_24598466	DEL	yes	no	22q11	3881969	C	H
chr22	20716497	24598466	GD_22q11.21-q11.23-CH_DUP_chr22_20716497_24598466	DUP	yes	no	22q11	3881969	C	H
chr22	20377696	24598466	GD_22q11.21-q11.23-BH_DEL_chr22_20377696_24598466	DEL	yes	no	22q11	4220770	B	H
chr22	20377696	24598466	GD_22q11.21-q11.23-BH_DUP_chr22_20377696_24598466	DUP	yes	no	22q11	4220770	B	H
chr22	18924718	23306924	GD_22q11.21-q11.23-AF_DEL_chr22_18924718_23306924	DEL	yes	no	22q11	4382206	A	F
chr22	18924718	23306924	GD_22q11.21-q11.23-AF_DUP_chr22_18924718_23306924	DUP	yes	no	22q11	4382206	A	F
chr22	18924718	24236853	GD_22q11.21-q11.23-AG_DEL_chr22_18924718_24236853	DEL	yes	no	22q11	5312135	A	G
chr22	18924718	24236853	GD_22q11.21-q11.23-AG_DUP_chr22_18924718_24236853	DUP	yes	no	22q11	5312135	A	G
chr22	18924718	24598466	GD_22q11.21-q11.23-AH_DEL_chr22_18924718_24598466	DEL	yes	no	22q11	5673748	A	H
chr22	18924718	24598466	GD_22q11.21-q11.23-AH_DUP_chr22_18924718_24598466	DUP	yes	no	22q11	5673748	A	H
chr7	156791102	156791874	GD_7q36.3_DEL_chr7_156791102_156791874	DEL	no	no		772		
chr7	156791102	156791874	GD_7q36.3_DUP_chr7_156791102_156791874	DUP	no	no		772		
chr6	1609915	1613896	GD_6p25.3_DEL_chr6_1609915_1613896	DEL	no	no		3981		
chr6	1609915	1613896	GD_6p25.3_DUP_chr6_1609915_1613896	DUP	no	no		3981		
chrX	103776506	103792618	GD_Xq22.2_DEL_chrX_103776506_103792618	DEL	no	no		16112		
chrX	103776506	103792618	GD_Xq22.2_DUP_chrX_103776506_103792618	DUP	no	no		16112		
chrX	624344	659410	GD_Xp22.33_DEL_chrX_624344_659410	DEL	no	no		35066		
chrX	624344	659410	GD_Xp22.33_DUP_chrX_624344_659410	DUP	no	no		35066		
chr22	50672823	50733211	GD_22q13.33_DEL_chr22_50672823_50733211	DEL	no	no		60388		
chr22	50672823	50733211	GD_22q13.33_DUP_chr22_50672823_50733211	DUP	no	no		60388		
chr5	126776622	126837020	GD_5q23.2_DEL_chr5_126776622_126837020	DEL	no	no		60398		
chr5	126776622	126837020	GD_5q23.2_DUP_chr5_126776622_126837020	DUP	no	no		60398		
chr14	21385199	21456122	GD_14q11.2_DEL_chr14_21385199_21456122	DEL	no	no		70923		
chr14	21385199	21456122	GD_14q11.2_DUP_chr14_21385199_21456122	DUP	no	no		70923		
chrX	154021573	154097716	GD_Xq28_DEL_chrX_154021573_154097716	DEL	no	no		76143		
chrX	154021573	154097716	GD_Xq28_DUP_chrX_154021573_154097716	DUP	no	no		76143		
chr14	100724515	100833215	GD_14q32.2_DEL_chr14_100724515_100833215	DEL	no	no		108700		
chr14	100724515	100833215	GD_14q32.2_DUP_chr14_100724515_100833215	DUP	no	no		108700		
chr2	110104531	110228181	GD_2q13_proximal_DEL_chr2_110104531_110228181	DEL	yes	no		123650		
chr2	110104531	110228181	GD_2q13_proximal_DUP_chr2_110104531_110228181	DUP	yes	no		123650		
chr5	112707504	112846239	GD_5q22.2_DEL_chr5_112707504_112846239	DEL	no	no		138735		
chr5	112707504	112846239	GD_5q22.2_DUP_chr5_112707504_112846239	DUP	no	no		138735		
chr16	3725054	3880712	GD_16p13.3_DEL_chr16_3725054_3880712	DEL	no	no		155658		
chr16	3725054	3880712	GD_16p13.3_DUP_chr16_3725054_3880712	DUP	no	no		155658		
chrX	154396223	154555683	GD_Xq28_DEL_chrX_154396223_154555683	DEL	yes	no		159460		
chrX	154396223	154555683	GD_Xq28_DUP_chrX_154396223_154555683	DUP	yes	no		159460		
chr16	21558792	21729102	GD_16p12.2-distal_DEL_chr16_21558792_21729102	DEL	yes	no		170310		
chr16	21558792	21729102	GD_16p12.2-distal_DUP_chr16_21558792_21729102	DUP	yes	no		170310		
chr6	143922155	144095424	GD_6q24.2_DEL_chr6_143922155_144095424	DEL	no	no		173269		
chr6	143922155	144095424	GD_6q24.2_DUP_chr6_143922155_144095424	DUP	no	no		173269		
chr2	44183133	44362502	GD_2p21_DEL_chr2_44183133_44362502	DEL	no	no		179369		
chr2	44183133	44362502	GD_2p21_DUP_chr2_44183133_44362502	DUP	no	no		179369		
chr2	199269500	199471265	GD_2q33.1_DEL_chr2_199269500_199471265	DEL	no	no		201765		
chr2	199269500	199471265	GD_2q33.1_DUP_chr2_199269500_199471265	DUP	no	no		201765		
chr9	137619005	137836126	GD_9q34.3_DEL_chr9_137619005_137836126	DEL	no	no		217121		
chr9	137619005	137836126	GD_9q34.3_DUP_chr9_137619005_137836126	DUP	no	no		217121		
chrX	43655006	43882449	GD_Xp11.3_DEL_chrX_43655006_43882449	DEL	no	no		227443		
chrX	43655006	43882449	GD_Xp11.3_DUP_chrX_43655006_43882449	DUP	no	no		227443		
chrX	53374149	53656331	GD_Xp11.22_DEL_chrX_53374149_53656331	DEL	no	no		282182		
chrX	53374149	53656331	GD_Xp11.22_DUP_chrX_53374149_53656331	DUP	no	no		282182		
chr21	25880550	26171127	GD_21q21.3_DEL_chr16_25880550_26171127	DEL	no	no		290577		
chr21	25880550	26171127	GD_21q21.3_DUP_chr16_25880550_26171127	DUP	no	no		290577		
chr15	98648539	98964530	GD_15q26.3_DEL_chr15_98648539_98964530	DEL	no	no		315991		
chr15	98648539	98964530	GD_15q26.3_DUP_chr15_98648539_98964530	DUP	no	no		315991		
chr2	239048167	239400949	GD_2q37.3_DEL_chr2_239048167_239400949	DEL	no	no		352782		
chr2	239048167	239400949	GD_2q37.3_DUP_chr2_239048167_239400949	DUP	no	no		352782		
chrX	154890328	155335092	GD_Xq28_DEL_chrX_154890328_155335092	DEL	yes	no		444764		
chrX	154890328	155335092	GD_Xq28_DUP_chrX_154890328_155335092	DUP	yes	no		444764		
chr2	130719936	131172120	GD_2q21.1_DEL_chr2_130719936_131172120	DEL	yes	no		452184		
chr2	130719936	131172120	GD_2q21.1_DUP_chr2_130719936_131172120	DUP	yes	no		452184		
chr17	45627800	46087514	GD_17q21.31_DEL_chr17_45627800_46087514	DEL	yes	no		459714		
chr17	45627800	46087514	GD_17q21.31_DUP_chr17_45627800_46087514	DUP	yes	no		459714		
chr2	15568553	16045215	GD_2p24.3_DEL_chr2_15568553_16045215	DEL	no	no		476662		
chr2	15568553	16045215	GD_2p24.3_DUP_chr2_15568553_16045215	DUP	no	no		476662		
chr16	21937124	22419483	GD_16p12.2-proximal_DEL_chr16_21937124_22419483	DEL	yes	no		482359		
chr16	21937124	22419483	GD_16p12.2-proximal_DUP_chr16_21937124_22419483	DUP	yes	no		482359		
chr2	148020927	148516970	GD_2q23.1_DEL_chr2_148020927_148516970	DEL	no	no		496043		
chr2	148020927	148516970	GD_2q23.1_DUP_chr2_148020927_148516970	DUP	no	no		496043		
chr8	76314229	76854003	GD_8q21.13_DEL_chr8_76314229_76854003	DEL	no	no		539774		
chr8	76314229	76854003	GD_8q21.13_DUP_chr8_76314229_76854003	DUP	no	no		539774		
chr4	1567470	2108509	GD_4p16.3_DEL_chr4_1567470_2108509	DEL	no	no		541039		
chr4	1567470	2108509	GD_4p16.3_DUP_chr4_1567470_2108509	DUP	no	no		541039		
chr2	1789113	2331274	GD_2p25.3_DEL_chr2_1789113_2331274	DEL	no	no		542161		
chr2	1789113	2331274	GD_2p25.3_DUP_chr2_1789113_2331274	DUP	no	no		542161		
chr15	84596421	85169770	GD_15q25.2-q25.3-CD_DEL_chr15_84596421_85169770	DEL	yes	no		573349		
chr15	84596421	85169770	GD_15q25.2-q25.3-CD_DUP_chr15_84596421_85169770	DUP	yes	no		573349		
chr11	31781961	32489442	GD_11p13_DEL_chr11_31781961_32489442	DEL	no	no		707481		
chr11	31781961	32489442	GD_11p13_DUP_chr11_31781961_32489442	DUP	no	no		707481		
chr16	40843	784372	GD_16p13.3_DEL_chr16_40843_784372	DEL	no	p		743529		
chr16	40843	784372	GD_16p13.3_DUP_chr16_40843_784372	DUP	no	p		743529		
chr2	87995627	88758069	GD_2p11.2_DEL_chr2_87995627_88758069	DEL	yes	no		762442		
chr2	87995627	88758069	GD_2p11.2_DUP_chr2_87995627_88758069	DUP	yes	no		762442		
chr7	75528718	76433859	GD_7q11.23_DEL_chr7_75528718_76433859	DEL	yes	no		905141		
chr7	75528718	76433859	GD_7q11.23_DUP_chr7_75528718_76433859	DUP	yes	no		905141		
chr2	96073264	97005692	GD_2q11.2_DEL_chr2_96073264_97005692	DEL	yes	no		932428		
chr2	96073264	97005692	GD_2q11.2_DUP_chr2_96073264_97005692	DUP	yes	no		932428		
chr2	49918503	51032131	GD_2p16.3_DEL_chr2_49918503_51032131	DEL	no	no		1113628		
chr2	49918503	51032131	GD_2p16.3_DUP_chr2_49918503_51032131	DUP	no	no		1113628		
chr17	30780079	31937008	GD_17q11.2_DEL_chr17_30780079_31937008	DEL	yes	no		1156929		
chr17	30780079	31937008	GD_17q11.2_DUP_chr17_30780079_31937008	DUP	yes	no		1156929		
chr22	16912063	18109094	GD_22q11.1-q11.21_DEL_chr22_16912063_18109094	DEL	yes	no		1197031		
